,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.022522272782321738,0.0022314058392225913,0.0022314058392225913,0.0019052466750798765,0.0018472421671829726,0.0018472421671829726,0.0018472421671829726,0.0018037747590585675,0.0006394928436463963,0.0005046339537677587,0.0004944717021504359,0.00040607155345189687,0.0003625989698449696,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.022439338812072256,0.0024195819483492165,0.0024195819483492165,0.0020634310214402325,0.0019799715519888163,0.0019799715519888163,0.0019799715519888163,0.0018933743897166894,0.0007284530646678296,0.0005679839465241593,0.0005615658449809827,0.00038837172613851866,0.00035945474449512786,50.0,0.2,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.021028453012212414,0.00232153348202627,0.00232153348202627,0.001970773034796139,0.0019206290905546012,0.0019206290905546012,0.0019206290905546012,0.001762347600367732,0.0007674488345550081,0.0005938848845465299,0.0005900350778256688,0.00033544553741201736,0.0002929727260342302,50.0,0.4,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.027190388602682875,0.0026237882134596325,0.0026237882134596325,0.0022120512775021172,0.002099809422545724,0.002099809422545724,0.002099809422545724,0.002041985532668856,0.0007794139242029797,0.0006058965414015515,0.0006024972848557342,0.0004935382646449634,0.00044591394776916776,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.03281005815334121,0.0034674117101523164,0.0034674117101523164,0.002934749729533357,0.002836949130903252,0.002836949130903252,0.002836949130903252,0.00274275315229463,0.0010727234880080667,0.0007429208110017374,0.0007284433900492958,0.0005581412886493,0.0005219040013920077,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.03255392799976495,0.0036001070631755372,0.0036001070631755372,0.0030145096371628623,0.002869989420230888,0.002869989420230888,0.002869989420230888,0.002746139114821992,0.0011341108191492623,0.0007918231697302833,0.0007753331367773885,0.0005073610723659082,0.00046612173706619037,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.03695870364946555,0.004104524188951668,0.004104524188951668,0.0034610808936052146,0.0033532079403376354,0.0033490535991462884,0.0033490535991462884,0.0032453590565149053,0.0013902867887580724,0.0009462819011653132,0.0009379837913425063,0.0007096779086096621,0.0006308013255726221,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.03814286044059044,0.004461177496948248,0.004461177496948248,0.003820683089260971,0.0036802981678747846,0.003676710781074147,0.003676710781074147,0.0034968573457195918,0.0015794449242346811,0.0010216539149818637,0.0010072662571822143,0.0005756628943648292,0.0005288631378407306,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.041558918990691134,0.004565306153591189,0.004565306153591189,0.0038724895650991565,0.0037751045836825286,0.0037751045836825286,0.0037751045836825286,0.003669622979409132,0.001580635613839839,0.0010500461084722791,0.0010435514113030025,0.0007530819495511483,0.0006881756333114523,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.04289789237868635,0.005170652425652081,0.005170652425652081,0.00436069594998187,0.004207611239363789,0.004205757722118599,0.004205757722118599,0.0040083040483106245,0.0018406940928749809,0.0010844868280653148,0.001069736910374869,0.0005975400522714177,0.0005458940571648196,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.048055388680122275,0.0060824803008053645,0.0060824803008053645,0.005128882672139736,0.0048972304425883365,0.004893448541920065,0.004893448541920065,0.0046732337347148885,0.0022608212096552234,0.0012464813940367904,0.0012312913850518656,0.0006537332808617937,0.0006043121069866752,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.04603756251182028,0.005306182450029299,0.005306182450029299,0.004453803696994782,0.004326659733881019,0.004325379304905764,0.004325379304905764,0.004212436325529626,0.0017947364807531028,0.0011336133660871243,0.0011169284288586032,0.0007818713668395527,0.0007100069499831803,100.0,0.1,100.0
