,Preselections,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",SSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008691591813399483,0.002343849880416663,0.002343849880416663,0.002275645203773879,0.002275645203773879,0.002243767044894687,3.770403065085449e-05,3.770403065085449e-05,3.335822897764528e-05,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010902428863361834,0.003086611497239104,0.003086611497239104,0.0029905749775743277,0.0029905749775743277,0.0029521579105318578,5.435989586841338e-05,5.435989586841338e-05,5.115962635388641e-05,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015447285747093137,0.0051123413077169486,0.00510880877051949,0.004939813672640561,0.004939813672640561,0.00485195027184928,0.00017237837931270467,0.0001688635377976933,0.00016535373888692834,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013601852050778919,0.0039525103763974985,0.003949246051044541,0.0038123712308926936,0.0038123712308926936,0.003734091169504524,7.826005565472974e-05,7.826005565472974e-05,7.499491438997351e-05,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015945853802788696,0.005039730571360331,0.005036377449234,0.004882260939918838,0.004882260939918838,0.004798490630334489,0.00011396774737108833,0.00011396774737108833,0.00011062305753159472,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.019252896550562674,0.006888984955823648,0.006885385319188229,0.006680297677881393,0.006680297677881393,0.006575936344704471,0.00025534420479553265,0.00024817238022855617,0.00024099420389539665,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018508212315340073,0.006056975772550001,0.006055624460173054,0.00589433764381123,0.00589433764381123,0.00579138441728922,0.00012878424645284357,0.00012878424645284357,0.00012200956476717888,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022130613659055123,0.008098204572887535,0.008092674581629968,0.007769928769055768,0.007769928769055768,0.007661053428020237,0.0002933571227412799,0.00026570280067086363,0.00025096628350747827,90.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02107545962410326,0.007239819967919775,0.007233390271530499,0.006989429981219134,0.006989429981219134,0.006879058774609206,0.00016305635560942845,0.00016176707068526027,0.00015919448061200807,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.025906769702760013,0.009750970358692558,0.009743220161255747,0.009379628672710276,0.009379628672710276,0.009240365056466962,0.0003328745630502385,0.0003135209332429333,0.0002941722136634562,100.0,0.2,100.0
