,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010142894766676572,0.009558893919108882,0.0034107711650069933,0.0034107711650069933,0.003304806443721939,0.003304806443721939,0.003266308615061219,0.003028712198062107,0.0028265577040794544,0.002540999860046433,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008691591813399483,0.008214364307131778,0.0026802163519826284,0.0026787713062410372,0.0026004183396687573,0.0026004183396687573,0.0025641674733978275,0.002346658953240475,0.0022379140218086978,0.002016042761854924,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.010902428863361834,0.010387853104460453,0.0034319769921156225,0.0034319769921156225,0.003310361568164278,0.003310361568164278,0.0032463804149504053,0.0030353329367913233,0.0028786001562936597,0.002626132262899261,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015447285747093137,0.014465425186378314,0.0055768054464245525,0.005573272483466313,0.0053690967722782295,0.0053690967722782295,0.005249536758646254,0.004869550371001814,0.004310091338426222,0.0037928575570372303,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013601852050778919,0.012919976632218286,0.004445154274993305,0.0044386127392387325,0.004291939856824595,0.004291939856824595,0.004203844779162744,0.003851482100687188,0.0035743084282432456,0.003147084973396579,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.015945853802788696,0.015091596096417026,0.0056026007665022914,0.005595910864770552,0.005418379517810739,0.005418379517810739,0.005314530423852882,0.004919229901250151,0.004486716369003651,0.00388691970308478,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.019252896550562674,0.01800445872208562,0.0073926142279852865,0.007385436732198504,0.0071515533589010674,0.0071515533589010674,0.007007634587029215,0.006543662567031096,0.005672807747790021,0.004989329577249672,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018508212315340073,0.017574678946792693,0.006605845551776981,0.00660179406378502,0.00642018674213724,0.00642018674213724,0.006305027007438152,0.005916055995112851,0.005333383201066445,0.004655967306307941,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022130613659055123,0.020760052864388007,0.008681152967086735,0.008666403413211503,0.008332610230382929,0.008332610230382929,0.008190547665497698,0.007637121663222678,0.006429025705572555,0.005484470697953973,90.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02107545962410326,0.019967715827116823,0.007849595345501486,0.007840596313853244,0.007569695244453642,0.007569695244453642,0.0074439049985556985,0.006997155547854507,0.006226741914598053,0.005373106767481077,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.025906769702760013,0.02427738518037907,0.010447629236262166,0.010443750952531115,0.010056921611725793,0.010056921611725793,0.009878982386931032,0.009236468724330921,0.0076113000970214305,0.006350175760888479,100.0,0.2,100.0
